ROM variant detected: ntsc-final
🎮 EXTRACTING FILES FROM NTSC-FINAL ROM
============================================================
Found 2015 file offset entries
Found 2014 file names

📋 DETAILED FILE LISTING (2014 files)
--------------------------------------------------------------------------------
Idx Type     Category  Size      Uncomp    Name
--------------------------------------------------------------------------------
217  Z    props        1.8K      3.9K  PmarkerZ
218  Z    props        359B      560B  Pmedlabwin1Z
219  Z    props        359B      560B  Pmedlabwin2Z
220  Z    props        677B      1.3K  PmodemboxZ
221  Z    props       13.4K     32.7K  PnintendologoZ
222  Z    props        6.7K     45.2K  Pnlogo2Z
223  Z    props        6.8K     24.3K  Pnlogo3Z
224  Z    props       15.2K     62.3K  PnlogoZ
225  Z    props        860B      1.7K  Ppc1Z
226  Z    props       17.8K     57.2K  PpdfourZ
227  Z    props       10.2K     23.3K  PpdoneZ
228  Z    props       17.1K     63.1K  PpdthreeZ
229  Z    props       14.6K     65.2K  PpdtwoZ
230  Z    props       14.6K     39.9K  PperfectdarkZ
231  Z    props        3.9K      8.6K  PpolicecarZ
232  Z    props        453B      744B  PravineliftZ
233  Z    props        2.2K      7.4K  PropeZ
234  Z    props        4.8K     12.5K  Psk_cryopod1_botZ
235  Z    props        4.1K      9.8K  Psk_cryopod1_topZ
236  Z    props        565B      1.1K  Psk_door1Z
237  Z    props       16.4K     32.6K  Psk_fighter1Z
238  Z    props        5.2K     10.9K  Psk_hangardoor_botZ
239  Z    props        7.4K     15.2K  Psk_hangardoor_topZ
240  Z    props        1.0K      2.1K  Psk_ship_door1Z
241  Z    props        461B     1016B  Psk_ship_holo1Z
242  Z    props        334B      672B  Psk_ship_holo2Z
243  Z    props        693B      1.2K  Psk_ship_hulldoor1Z
244  Z    props        712B      1.2K  Psk_ship_hulldoor2Z
245  Z    props        528B      928B  Psk_ship_hulldoor3Z
246  Z    props        536B      928B  Psk_ship_hulldoor4Z
247  Z    props        4.4K     12.0K  Psk_under_generatorZ
248  Z    props        2.4K      5.3K  Psk_under_transZ
249  Z    props        499B      792B  Pskcrev_exp1Z
250  Z    props        2.3K      5.9K  Pskcrev_unexp1Z
251  Z    props        598B      896B  Psktnl_exp1Z
252  Z    props        576B      872B  Psktnl_unexp1Z
253  Z    props        3.9K      8.4K  PtaxicabZ
254  Z    props        970B      1.9K  PtesterbotZ
255  Z    props       31.1K     82.5K  PtestobjZ
256  Z    props        197B      344B  PtvscreenZ
257  Z    props        239B      400B  PwindowZ
258  Z    setup         32B       64B  Ump_setupameZ
259  Z    setup         27B       64B  Ump_setuparchZ
260  Z    setup        514B      6.8K  Ump_setuparecZ
261  Z    setup         29B       64B  Ump_setuparkZ
262  Z    setup         32B       64B  Ump_setupashZ
263  Z    setup         32B       64B  Ump_setupaztZ
264  Z    setup         27B       64B  Ump_setupcatZ
265  Z    setup         27B       64B  Ump_setupcaveZ
266  Z    setup        438B      5.3K  Ump_setupcradZ
267  Z    setup        395B      5.0K  Ump_setupcrypZ
268  Z    setup        759B      1.3K  Ump_setupdamZ
269  Z    setup         27B       64B  Ump_setupdepoZ
270  Z    setup         27B       64B  Ump_setupdestZ
271  Z    setup         27B       64B  Ump_setupdishZ
272  Z    setup         41B       96B  Ump_setupearZ
273  Z    setup         41B       96B  Ump_setupeldZ
274  Z    setup         32B       64B  Ump_setupimpZ
275  Z    setup        427B      6.2K  Ump_setupjunZ
276  Z    setup         41B       96B  Ump_setupleeZ
277  Z    setup         34B       80B  Ump_setuplenZ
278  Z    setup         32B       64B  Ump_setuplipZ
279  Z    setup         32B       64B  Ump_setuplueZ
280  Z    setup        446B      7.0K  Ump_setupoatZ
281  Z    setup         41B       96B  Ump_setuppamZ
282  Z    setup        227B      416B  Ump_setuppeteZ
283  Z    setup        413B      5.4K  Ump_setuprefZ
284  Z    setup         41B       96B  Ump_setupritZ
285  Z    setup         44B       96B  Ump_setuprunZ
286  Z    setup         30B       64B  Ump_setupsevZ
287  Z    setup         30B       64B  Ump_setupsevbZ
288  Z    setup         27B       64B  Ump_setupsevxZ
289  Z    setup         27B       64B  Ump_setupshoZ
290  Z    setup         30B       64B  Ump_setupsiloZ
291  Z    setup         27B       64B  Ump_setupstatZ
292  Z    setup         27B       64B  Ump_setuptraZ
293  Z    setup         32B       64B  Ump_setupwaxZ
294  Z    setup        8.3K     57.0K  UsetupameZ
295  Z    setup         30B       64B  UsetuparchZ
296  Z    setup         80B      224B  UsetuparecZ
297  Z    setup        7.4K     47.2K  UsetuparkZ
298  Z    setup         32B       64B  UsetupashZ
299  Z    setup        4.6K     15.7K  UsetupaztZ
300  Z    setup         27B       64B  UsetupcatZ
301  Z    setup        9.4K     52.1K  UsetupcaveZ
302  Z    setup         41B       96B  UsetupcradZ
303  Z    setup         35B       80B  UsetupcrypZ
304  Z    setup        6.8K     53.3K  UsetupdamZ
305  Z    setup        6.5K     33.1K  UsetupdepoZ
306  Z    setup         30B       64B  UsetupdestZ
307  Z    setup        9.1K     67.8K  UsetupdishZ
308  Z    setup        7.6K     62.2K  UsetupearZ
309  Z    setup        7.7K     55.3K  UsetupeldZ
310  Z    setup        8.1K     47.7K  UsetupimpZ
311  Z    setup         37B       80B  UsetupjunZ
312  Z    setup        7.6K     49.8K  UsetupleeZ
313  Z    setup         37B       80B  UsetuplenZ
314  Z    setup        9.8K     70.7K  UsetuplipZ
315  Z    setup        7.3K     43.0K  UsetuplueZ
316  Z    setup        425B      864B  UsetupoatZ
317  Z    setup        9.8K     52.7K  UsetuppamZ
318  Z    setup        6.4K     26.1K  UsetuppeteZ
319  Z    setup         42B       96B  UsetuprefZ
320  Z    setup        7.8K     44.8K  UsetupritZ
321  Z    setup         30B       64B  UsetuprunZ
322  Z    setup        5.3K     65.0K  UsetupsevZ
323  Z    setup         30B       64B  UsetupsevbZ
324  Z    setup         30B       64B  UsetupsevxZ
325  Z    setup         30B       64B  UsetupsevxbZ
326  Z    setup        8.0K     36.9K  UsetupshoZ
327  Z    setup         30B       64B  UsetupsiloZ
328  Z    setup        2.8K     17.9K  UsetupstatZ
329  Z    setup        8.4K     60.5K  UsetuptraZ
330  Z    setup        5.4K     48.1K  UsetupwaxZ
331  Z    bgdata      12.8K     33.2K  bgdata/bg_ame_padsZ
332  Z    bgdata      32.0K    113.1K  bgdata/bg_ame_tilesZ
333  Z    bgdata        22B       48B  bgdata/bg_arch_padsZ
334  Z    bgdata       175B      624B  bgdata/bg_arch_tilesZ
335  Z    bgdata       6.1K     15.2K  bgdata/bg_arec_padsZ
336  Z    bgdata       4.9K     15.4K  bgdata/bg_arec_tilesZ
337  Z    bgdata      12.9K     32.7K  bgdata/bg_ark_padsZ
338  Z    bgdata       175B      624B  bgdata/bg_ark_tilesZ
339  Z    bgdata        22B       48B  bgdata/bg_ash_padsZ
340  Z    bgdata       175B      624B  bgdata/bg_ash_tilesZ
341  Z    bgdata      14.5K     32.0K  bgdata/bg_azt_padsZ
342  Z    bgdata      83.9K    224.2K  bgdata/bg_azt_tilesZ
343  Z    bgdata        22B       48B  bgdata/bg_cat_padsZ
344  Z    bgdata       175B      624B  bgdata/bg_cat_tilesZ
345  Z    bgdata      12.7K     27.8K  bgdata/bg_cave_padsZ
346  Z    bgdata      64.7K    203.5K  bgdata/bg_cave_tilesZ
347  Z    bgdata       6.1K     15.5K  bgdata/bg_crad_padsZ
348  Z    bgdata      11.9K     38.3K  bgdata/bg_crad_tilesZ
349  Z    bgdata       5.0K     13.0K  bgdata/bg_cryp_padsZ
350  Z    bgdata      10.7K     36.6K  bgdata/bg_cryp_tilesZ
351  Z    bgdata      13.8K     36.7K  bgdata/bg_dam_padsZ
352  Z    bgdata     120.5K    394.4K  bgdata/bg_dam_tilesZ
353  Z    bgdata       5.7K     14.7K  bgdata/bg_depo_padsZ
354  Z    bgdata      33.1K    112.5K  bgdata/bg_depo_tilesZ
355  Z    bgdata        22B       48B  bgdata/bg_dest_padsZ
356  Z    bgdata       175B      624B  bgdata/bg_dest_tilesZ
357  Z    bgdata      16.4K     40.4K  bgdata/bg_dish_padsZ
358  Z    bgdata      47.5K    148.2K  bgdata/bg_dish_tilesZ
359  Z    bgdata      18.6K     39.4K  bgdata/bg_ear_padsZ
360  Z    bgdata      65.3K    189.3K  bgdata/bg_ear_tilesZ
361  Z    bgdata      15.2K     37.7K  bgdata/bg_eld_padsZ
362  Z    bgdata      63.1K    189.4K  bgdata/bg_eld_tilesZ
363  Z    bgdata      16.4K     40.4K  bgdata/bg_imp_padsZ
364  Z    bgdata       175B      624B  bgdata/bg_imp_tilesZ
365  Z    bgdata       5.0K     13.4K  bgdata/bg_jun_padsZ
366  Z    bgdata       4.4K     14.7K  bgdata/bg_jun_tilesZ
367  Z    bgdata      12.7K     30.9K  bgdata/bg_lee_padsZ
368  Z    bgdata     136.5K    437.4K  bgdata/bg_lee_tilesZ
369  Z    bgdata        22B       48B  bgdata/bg_len_padsZ
370  Z    bgdata       175B      624B  bgdata/bg_len_tilesZ
371  Z    bgdata      30.5K     80.6K  bgdata/bg_lip_padsZ
372  Z    bgdata       175B      624B  bgdata/bg_lip_tilesZ
373  Z    bgdata      30.5K     80.6K  bgdata/bg_lue_padsZ
374  Z    bgdata     155.0K    516.4K  bgdata/bg_lue_tilesZ
375  Z    bgdata       7.2K     17.5K  bgdata/bg_oat_padsZ
376  Z    bgdata      11.5K     32.8K  bgdata/bg_oat_tilesZ
377  Z    bgdata      23.8K     46.8K  bgdata/bg_pam_padsZ
378  Z    bgdata     142.9K    399.3K  bgdata/bg_pam_tilesZ
379  Z    bgdata       5.9K     14.4K  bgdata/bg_pete_padsZ
380  Z    bgdata      31.1K     99.7K  bgdata/bg_pete_tilesZ
381  Z    bgdata       5.0K     11.8K  bgdata/bg_ref_padsZ
382  Z    bgdata      12.9K     44.0K  bgdata/bg_ref_tilesZ
383  Z    bgdata       9.1K     23.3K  bgdata/bg_rit_padsZ
384  Z    bgdata      99.8K    305.5K  bgdata/bg_rit_tilesZ
385  Z    bgdata        22B       48B  bgdata/bg_run_padsZ
386  Z    bgdata       175B      624B  bgdata/bg_run_tilesZ
387  Z    bgdata      30.5K     80.6K  bgdata/bg_sev_padsZ
388  Z    bgdata       175B      624B  bgdata/bg_sev_tilesZ
389  Z    bgdata        22B       48B  bgdata/bg_sevb_padsZ
390  Z    bgdata       175B      624B  bgdata/bg_sevb_tilesZ
391  Z    bgdata        22B       48B  bgdata/bg_sevx_padsZ
392  Z    bgdata       175B      624B  bgdata/bg_sevx_tilesZ
393  Z    bgdata       9.4K     25.0K  bgdata/bg_sho_padsZ
394  Z    bgdata      64.5K    200.1K  bgdata/bg_sho_tilesZ
395  Z    bgdata        22B       48B  bgdata/bg_silo_padsZ
396  Z    bgdata       175B      624B  bgdata/bg_silo_tilesZ
397  Z    bgdata       9.4K     25.0K  bgdata/bg_stat_padsZ
398  Z    bgdata       175B      624B  bgdata/bg_stat_tilesZ
